,stockCode,maxDrawdownDay,maxDrawdownHour,maxDrawdownMinute,slope,intercept,R^2,p,stdError
0,603128,0.046808510638297884,0.04923076923076927,0.05383580080753694,0.008165856545411503,6.114041829085458,0.9116963106832412,2.1976314088480956e-61,0.00023907097354095046
1,2042,0.16211293260473597,0.16211293260473597,0.1,0.01198802177858439,3.9303175412293863,0.9017941793932353,8.958379065565202e-59,0.000372154437728032
2,35,0.03935185185185183,0.044303797468354424,0.021141649048625904,0.005084612956679555,4.14361184407796,0.9188679025503159,1.8275464169402474e-63,0.00014213089449444707
3,301018,0.1044534412955465,0.11590065658007428,0.05387473460721871,0.0956778978931587,22.54972503748126,0.9539096968783765,2.390256437272029e-77,0.001978443050684904
4,2867,0.04932378679395394,0.056827150749802734,0.017458100558659217,0.023825858123569802,11.92683043478261,0.9090970241391576,1.1334980642275714e-60,0.0007087503101456612
5,300809,0.13261093911248711,0.1562579658424674,0.05164867230814132,0.12009161997948396,22.27276026986506,0.9119012457078463,1.9270540225677258e-61,0.003511433603049565
6,601288,0.03124999999999989,0.022869022869022752,0.025878003696857776,0.004306967568847155,4.673702848575712,0.9453513219438677,3.628074568395704e-73,9.741494560347618e-05
7,600035,0.03935185185185183,0.044303797468354424,0.021141649048625904,0.005084612956679555,4.14361184407796,0.9188679025503159,1.8275464169402474e-63,0.00014213089449444707
8,600577,0.1504132231404959,0.09847198641765706,0.06447534766118834,0.021099826402588177,5.126927286356823,0.9046570388096928,1.6811593117363608e-59,0.0006443799150534326
9,601988,0.026422764227642254,0.019960079840319292,0.017921146953404955,0.004208356348141718,4.861019340329834,0.9501634274381828,1.9806805194873868e-75,9.066678450134121e-05
10,300488,0.08221070811744384,0.12641008626410094,0.05950653120464431,0.043625250532628425,22.75069985007496,0.9176085546312375,4.366291511265418e-63,0.001229733619366322
11,600548,0.04655172413793096,0.05227077977720646,0.020547945205479555,0.017984399905310505,10.720132683658171,0.9305307234157245,2.8254331962277e-67,0.00046226153713681576
12,1965,0.051367025683512924,0.02620456466610317,0.010211524434719224,0.017074362818590705,11.295535232383806,0.9252147622761969,1.8264641551356247e-65,0.0004566589212278249
13,301371,0.07891920813269135,0.053080308030803075,0.028776978417266254,0.035402296220310894,35.225051724137934,0.9061751093728102,6.782886955978544e-60,0.0010716307791693296
14,688696,0.10034602076124573,0.07678224053095313,0.0359137300211824,0.25995177148267967,75.8236272863568,0.9524625356659446,1.3720264994806712e-76,0.005463206480378919
15,300888,0.06495607951918621,0.07977142857142862,0.028447444551591122,0.09331601830663616,32.11718695652175,0.9165944652313847,8.720043624796579e-63,0.0026480476658050987
16,2122,0.1904761904761905,0.21805792163543444,0.0,0.025854075593782055,2.393065517241379,0.9195104391922228,1.1657803728242006e-63,0.0007195835710246039
17,603223,0.09002169197396963,0.07932011331444758,0.03465346534653462,0.015433401720192535,8.611217841079457,0.9117629760913593,2.105753065768008e-61,0.0004516550685796433
